0 1 2
1 0 1
2 2 0
3 2 1
4 3 2
5 4 2
6 338 0
7 5 1
8 3 0
9 1 0
10 5 2
11 6 0
12 1 1
13 335 1
14 6 2
15 0 0
16 9 0
17 8 1
18 9 1
19 10 0
20 12 2
21 10 2
22 11 1
23 13 2
24 10 1
25 14 0
26 7 2
27 2 2
28 14 2
29 11 0
30 14 1
31 8 2
32 15 0
33 9 2
34 16 1
35 15 1
36 15 2
37 4 0
38 7 0
39 17 0
40 8 0
41 7 1
42 16 0
43 13 0
44 12 1
45 12 0
46 4 1
47 323 0
48 18 2
49 16 2
50 17 1
51 11 2
52 5 0
53 3 1
54 19 2
55 19 0
56 18 0
57 20 2
58 21 1
59 22 1
60 22 2
61 13 1
62 20 0
63 23 0
64 17 2
65 22 0
66 18 1
67 23 2
68 21 2
69 21 0
70 20 1
71 24 2
72 25 2
73 23 1
74 24 0
75 24 1
76 26 2
77 315 0
78 27 2
79 27 1
80 313 2
81 312 0
82 25 1
83 28 1
84 29 2
85 29 1
86 31 2
87 25 0
88 28 2
89 30 1
90 31 1
91 28 0
92 32 1
93 33 2
94 26 0
95 34 2
96 34 1
97 306 1
98 30 0
99 32 0
100 36 0
101 36 2
102 309 1
103 38 2
104 37 0
105 39 0
106 306 0
107 26 1
108 33 1
109 301 0
110 39 1
111 41 2
112 37 2
113 41 1
114 308 0
115 35 1
116 40 2
117 38 0
118 33 0
119 302 1
120 39 2
121 37 1
122 40 1
123 42 1
124 32 2
125 31 0
126 42 2
127 43 0
128 44 0
129 35 0
130 45 0
131 44 1
132 46 0
133 46 1
134 47 2
135 45 2
136 48 1
137 43 2
138 292 0
139 49 1
140 50 0
141 51 0
142 52 1
143 53 2
144 50 2
145 54 1
146 54 2
147 51 1
148 44 2
149 52 0
150 56 2
151 48 0
152 53 1
153 50 1
154 285 0
155 46 2
156 42 0
157 55 0
158 55 2
159 41 0
160 47 0
161 43 1
162 52 2
163 56 1
164 57 2
165 47 1
166 45 1
167 57 1
168 51 2
169 284 2
170 53 0
171 54 0
172 58 0
173 59 2
174 55 1
175 60 1
176 59 0
177 61 2
178 56 0
179 58 1
180 62 1
181 62 2
182 278 1
183 60 2
184 57 0
185 48 2
186 60 0
187 64 2
188 65 0
189 66 0
190 64 0
191 67 0
192 68 2
193 273 2
194 66 2
195 63 1
196 67 2
197 65 2
198 62 0
199 63 2
200 281 0
201 68 0
202 63 0
203 69 2
204 68 1
205 67 1
206 69 1
207 70 0
208 72 1
209 72 0
210 66 1
211 65 1
212 268 0
213 69 0
214 70 1
215 74 1
216 74 0
217 267 2
218 75 0
219 272 1
220 76 2
221 61 0
222 70 2
223 77 2
224 78 2
225 79 1
226 76 0
227 71 0
228 78 1
229 75 1
230 80 1
231 75 2
232 77 0
233 81 2
234 79 2
235 73 2
236 82 2
237 71 2
238 78 0
239 82 1
240 73 0
241 80 0
242 79 0
243 77 1
244 81 0
245 80 2
246 74 2
247 83 1
248 258 0
249 259 1
250 84 2
251 82 0
252 85 0
253 86 1
254 87 0
255 88 1
256 252 0
257 85 2
258 89 0
259 81 1
260 85 1
261 91 2
262 93 1
263 92 2
264 86 2
265 248 2
266 94 0
267 95 0
268 251 1
269 96 1
270 95 2
271 84 1
272 97 2
273 98 1
274 91 0
275 247 0
276 93 0
277 91 1
278 92 0
279 96 0
280 94 1
281 99 1
282 99 0
283 87 2
284 100 1
285 96 2
286 88 0
287 90 1
288 102 1
289 86 0
290 90 2
291 100 2
292 93 2
293 97 0
294 102 0
295 84 0
296 103 1
297 98 0
298 94 2
299 103 0
300 99 2
301 100 0
302 101 0
303 104 0
304 87 1
305 88 2
306 105 1
307 106 0
308 98 2
309 102 2
310 240 2
311 242 2
312 89 1
313 239 1
314 106 2
315 107 1
316 107 0
317 105 0
318 109 0
319 106 1
320 111 1
321 230 1
322 104 1
323 103 2
324 112 1
325 108 2
326 234 2
327 110 1
328 233 1
329 109 2
330 112 0
331 101 2
332 114 2
333 107 2
334 111 2
335 114 0
336 116 0
337 117 2
338 105 2
339 113 0
340 115 2
341 109 1
342 118 0
343 119 0
344 116 1
345 108 0
346 119 1
347 120 0
348 110 0
349 116 2
350 119 2
351 121 0
352 122 0
353 122 1
354 117 0
355 110 2
356 118 2
357 123 1
358 124 0
359 120 2
360 124 1
361 114 1
362 115 1
363 118 1
364 123 2
365 124 2
366 125 1
367 121 1
368 126 0
369 127 2
370 128 1
371 125 2
372 127 1
373 129 0
374 121 2
375 127 0
376 125 0
377 113 1
378 129 1
379 129 2
380 130 2
381 122 2
382 131 1
383 130 0
384 132 2
385 120 1
386 130 1
387 113 2
388 123 0
389 133 0
390 132 1
391 131 2
392 134 1
393 135 0
394 133 2
395 134 0
396 229 2
397 136 0
398 117 1
399 137 0
400 136 2
401 138 2
402 126 1
403 128 2
404 138 0
405 139 1
406 135 1
407 136 1
408 140 0
409 141 0
410 137 2
411 134 2
412 142 2
413 140 1
414 126 2
415 132 0
416 143 0
417 128 0
418 144 2
419 135 2
420 138 1
421 145 0
422 143 1
423 137 1
424 133 1
425 141 2
426 146 2
427 146 0
428 142 0
429 143 2
430 144 1
431 146 1
432 145 2
433 147 1
434 144 0
435 140 2
436 148 2
437 142 1
438 139 2
439 147 2
440 145 1
441 149 2
442 148 0
443 150 0
444 151 2
445 141 1
446 151 1
447 147 0
448 150 1
449 139 0
450 148 1
451 149 0
452 152 1
453 153 1
454 152 2
455 153 2
456 154 1
457 150 2
458 155 0
459 152 0
460 154 0
461 131 0
462 151 0
463 156 2
464 157 1
465 157 2
466 154 2
467 157 0
468 156 0
469 158 1
470 155 2
471 149 1
472 159 0
473 159 2
474 160 2
475 158 0
476 155 1
477 160 1
478 161 1
479 153 0
480 162 1
481 163 2
482 162 2
483 163 1
484 161 0
485 163 0
486 164 1
487 160 0
488 165 0
489 166 1
490 166 0
491 167 1
492 168 1
493 167 0
494 156 1
495 168 0
496 159 1
497 169 0
498 161 2
499 164 0
500 165 1
501 162 0
502 167 2
503 164 2
504 165 2
505 169 2
506 169 1
507 170 1
508 171 2
509 171 1
510 168 2
511 166 2
512 172 2
513 172 0
514 170 2
515 172 1
516 158 2
517 173 0
518 171 0
519 174 1
520 175 1
521 175 2
522 176 0
523 176 2
524 174 2
525 174 0
526 177 0
527 177 1
528 173 1
529 178 0
530 179 2
531 180 1
532 181 0
533 181 1
534 178 2
535 181 2
536 180 2
537 182 1
538 179 1
539 182 0
540 170 0
541 183 1
542 184 2
543 179 0
544 176 1
545 184 1
546 185 2
547 186 1
548 183 2
549 173 2
550 187 1
551 186 2
552 175 0
553 183 0
554 180 0
555 188 1
556 177 2
557 187 2
558 188 0
559 187 0
560 189 2
561 189 1
562 184 0
563 185 0
564 182 2
565 178 1
566 190 0
567 191 1
568 189 0
569 192 1
570 192 0
571 190 1
572 188 2
573 193 1
574 191 0
575 194 1
576 186 0
577 192 2
578 190 2
579 195 1
580 196 0
581 197 1
582 194 2
583 198 2
584 199 2
585 200 2
586 198 0
587 201 2
588 199 1
589 185 1
590 200 0
591 202 2
592 203 1
593 191 2
594 202 1
595 193 0
596 196 1
597 204 1
598 201 0
599 204 2
600 205 2
601 198 1
602 205 0
603 197 0
604 206 2
605 207 0
606 208 0
607 209 2
608 202 0
609 206 0
610 208 2
611 203 2
612 197 2
613 210 2
614 195 2
615 195 0
616 199 0
617 194 0
618 209 0
619 201 1
620 205 1
621 204 0
622 193 2
623 200 1
624 196 2
625 211 1
626 206 1
627 209 1
628 211 2
629 208 1
630 212 2
631 210 1
632 213 2
633 212 1
634 214 1
635 213 1
636 214 2
637 215 1
638 211 0
639 207 2
640 215 0
641 214 0
642 215 2
643 216 1
644 217 1
645 218 1
646 217 2
647 218 2
648 203 0
649 216 0
650 219 0
651 219 1
652 220 1
653 210 0
654 221 1
655 212 0
656 217 0
657 213 0
658 221 2
659 220 0
660 207 1
661 222 1
662 219 2
663 221 0
664 220 2
665 223 0
666 216 2
667 224 0
668 224 1
669 222 0
670 225 0
671 225 2
672 223 1
673 115 0
674 222 2
675 225 1
676 226 1
677 227 2
678 112 2
679 229 1
680 224 2
681 232 1
682 231 2
683 226 0
684 229 0
685 226 2
686 233 2
687 234 0
688 230 0
689 235 0
690 236 0
691 235 2
692 237 2
693 227 1
694 223 2
695 237 1
696 236 1
697 236 2
698 104 2
699 232 2
700 239 2
701 230 2
702 237 0
703 108 1
704 227 0
705 231 1
706 240 0
707 240 1
708 233 0
709 101 1
710 242 1
711 239 0
712 241 0
713 235 1
714 243 1
715 228 2
716 244 0
717 243 0
718 231 0
719 241 2
720 238 1
721 228 0
722 238 2
723 218 0
724 97 1
725 238 0
726 241 1
727 244 2
728 244 1
729 234 1
730 111 0
731 245 0
732 246 0
733 243 2
734 245 2
735 245 1
736 242 0
737 246 2
738 248 1
739 249 0
740 232 0
741 247 1
742 92 1
743 95 1
744 251 2
745 90 0
746 252 2
747 249 2
748 253 1
749 247 2
750 253 2
751 250 0
752 253 0
753 251 0
754 248 0
755 89 2
756 249 1
757 246 1
758 255 1
759 254 2
